Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,1.5-3%,Algeria,Low,$0,Africa,12/1/2000,2.0%,,87931,,,26998,$55B,"$1,727",3.5%,$60,,0.034,1%,0.1,69,71,67,0%,1,0.342,0.619,0.039,31.7M,59.9%,$0B,$0B
Below Threshold,Above 3%,Angola,Low,$0,Africa,12/1/2000,5.0%,,9542,,,7499,$9B,$656,3.4%,$22,,0.128,0%,1.032,46,47,44,0%,1,0.476,0.499,0.025,13.9M,32.4%,$0B,$0B
Below Threshold,Above 3%,Benin,Low,$0,Africa,12/1/2000,4.3%,,1617,,,1983,$2B,$339,4.3%,$15,,0.09,0%,,55,57,53,1%,1,0.454,0.517,0.029,6.9M,38.3%,$0B,$0B
Below Threshold,1.5-3%,Botswana,Friendly,$0,Africa,12/1/2000,2.7%,,4276,,,1836,$6B,"$3,297",4.7%,$152,,0.054,3%,0.155,51,52,49,13%,1,0.383,0.587,0.029,1.8M,53.2%,$0B,$0B
Below Threshold,Above 3%,Burkina Faso,Low,$0,Africa,12/1/2000,4.6%,,1041,,,,$3B,$225,5.1%,$12,,0.096,0%,,51,52,49,0%,1,0.468,0.505,0.028,11.6M,17.8%,$0B,$0B
Below Threshold,Above 3%,Burundi,Low,$0,Africa,12/1/2000,4.2%,,301,,,,$1B,$130,6.3%,$7,,0.092,0%,0.158,48,49,47,0%,1,0.49,0.481,0.029,6.7M,8.2%,$0B,$0B
Below Threshold,Above 3%,Cameroon,Low,$0,Africa,12/1/2000,4.1%,,3432,,,6310,$9B,$583,4.4%,$26,,0.093,0%,0.22,52,53,51,1%,1,0.453,0.513,0.034,15.9M,45.5%,$0B,$0B
Below Threshold,Above 3%,Central African Republic,Low,$0,Africa,12/1/2000,3.9%,,268,,,,$1B,$251,4.3%,$11,,0.113,0%,0.22,44,45,42,0%,1,0.423,0.537,0.04,3.6M,37.6%,$0B,$0B
Below Threshold,Above 3%,Chad,Low,$0,Africa,12/1/2000,5.1%,,176,,,,$1B,$167,6.3%,$10,,0.106,0%,0.22,47,48,46,0%,1,0.49,0.482,0.028,8.3M,21.6%,$0B,$0B
Below Threshold,Above 3%,Comoros,Low,$0,Africa,12/1/2000,3.9%,,84,,,,$0B,$382,3.5%,$13,,0.073,0%,0.12,58,59,56,,1,0.415,0.554,0.031,0.5M,28.1%,$0B,
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0,Africa,12/1/2000,4.8%,,1646,,,16679,$19B,$407,4.8%,$14,,0.115,0%,,47,48,45,0%,1,0.464,0.507,0.028,46.9M,35.1%,,
